Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Jawaharlal Institute of Post Graduate Medical Education & Research ,(IR-O-U-0368),8.5,25.0,17.47,17.2,0.0,14.41,11.34,0.0,0.36,60.0,3.63,19.77,27.57,0.83,20.0,18.81,2022,,
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,(IR-O-U-0020),14.95,25.0,17.25,4.02,0.0,17.07,15.51,3.5,0.55,60.0,7.04,10.96,25.6,0.26,20.0,12.6,2022,,
Mysore University ,(IR-O-U-0235),16.0,22.17,17.11,7.61,6.0,6.8,9.43,0.0,0.58,60.0,30.68,158.0,30.0,2.21,20.0,4.8,2022,,
Thapar Institute of Engineering and Technology ,(IR-O-I-1480),13.86,15.12,12.09,8.79,0.0,18.92,23.19,2.0,0.71,60.0,10.57,14.32,19.99,0.79,20.0,16.21,2022,,
Lovely Professional University ,(IR-O-U-0379),17.85,22.87,11.49,4.19,0.0,10.1,15.05,7.0,2.57,60.0,6.11,23.78,22.02,3.53,20.0,20.57,2022,,
"Indian Institute of Technology, Patna ",(IR-O-U-0064),8.26,20.28,15.49,12.02,6.0,19.87,17.77,1.0,0.67,54.33,7.92,17.39,9.37,5.22,20.0,14.24,2022,,
JSS Academy of higher Education and Research,(IR-O-U-0222),14.0,25.0,17.52,11.6,0.0,6.64,11.3,1.5,1.97,60.0,9.04,15.93,30.0,344.0,20.0,16.97,2022,,
Indian Institute of Science Education & Research Bhopal ,(IR-O-U-0272),8.6,22.58,17.09,13.48,5.0,14.13,14.15,0.0,0.9,57.63,7.2,23.23,20.04,3.57,20.0,8.66,2022,,
Symbiosis international,(IR-O-U-0329),14.97,24.1,14.99,11.57,0.0,4.24,7.76,1.5,4.3,60.0,14.9,16.46,28.32,1.78,20.0,25.46,2022,,
Delhi Technological University ,(IR-O-U-0098),15.73,25.0,11.02,6.18,0.0,13.07,17.11,0.5,1.78,60.0,6.55,14.71,20.67,1.96,20.0,28.71,2022,,
Gauhati University ,(IR-O-U-0052),16.0,18.77,14.66,9.99,0.0,8.82,10.67,1.0,1.17,60.0,29.82,4.71,30.0,3.49,20.0,8.66,2022,,
Indian Institute of Technology Bhubaneswar ,(IR-O-U-0355),9.12,18.67,15.14,10.93,0.0,18.18,18.51,0.5,1.01,58.74,6.71,23.28,10.48,6.69,20.0,16.97,2022,,
"Indian Institute of Engineering Science and Technology, Shibpur ",(IR-O-U-0584),11.42,16.55,12.12,8.43,1.5,19.79,17.76,0.5,1.3,56.18,14.26,11.12,13.85,3.29,20.0,27.26,2022,,
Sathyabama Institute of Science and Technology ,(IR-O-U-0474),13.11,24.33,14.44,5.11,0.0,13.1,14.01,1.5,1.26,60.0,5.82,16.51,26.07,2.48,20.0,23.57,2022,,
"Visvesvaraya National Institute of Technology, Nagpur ",(IR-O-U-0334),11.8,18.11,14.4,9.22,0.0,15.84,15.25,6.0,2.19,60.0,10.53,13.51,17.75,3.35,20.0,6.29,2022,,
Cochin University of Science and Technology ,(IR-O-U-0253),12.0,20.28,16.01,8.77,0.0,15.98,13.78,1.5,1.31,60.0,13.37,0.87,30.0,0.76,20.0,13.02,2022,,
University of Madras , (IR-O-I-1357),11.35,21.57,16.16,7.5,0.0,15.42,15.19,0.5,1.23,54.93,16.36,3.28,29.13,0.0,20.0,18.45,2022,,
"Andhra University, Visakhapatnam ",(IR-O-U-0006),15.0,14.81,11.92,12.32,0.0,10.46,10.28,1.0,4.07,60.0,25.7,1.19,28.21,4.34,20.0,15.04,2022,,
National Institute of Technology Durgapur ,(IR-O-U-0577),11.8,18.35,14.94,8.86,0.0,17.21,16.23,1.0,0.72,60.0,10.09,14.2,12.96,9.98,20.0,14.24,2022,,
Gujarat University ,(IR-O-U-0136),12.94,25.0,15.84,8.98,2.0,5.28,6.79,1.5,4.81,60.0,23.3,7.39,30.0,0.0,20.0,3.78,2022,,
Jamia Hamdard,(IR-O-U-0107),14.39,20.27,14.44,7.83,0.0,12.21,15.34,0.5,2.1,60.0,10.35,14.03,28.34,0.56,18.0,12.18,2022,,
King George's Medical University ,(IR-O-U-0523),7.2,25.0,15.64,18.49,0.0,12.43,12.49,0.0,1.39,60.0,3.36,6.49,26.37,2.97,20.0,9.57,2022,,
DR. D. Y. Patil Vidyapeeth,(IR-O-I-1110),12.05,25.0,18.31,14.43,0.0,6.14,10.31,1.0,1.76,60.0,4.27,11.26,30.0,0.04,20.0,10.89,2022,,
"National Institute of Technology, Silchar ",(IR-O-U-0055),11.71,18.14,14.57,7.84,0.0,17.56,16.91,2.0,0.37,59.63,8.8,14.33,15.46,7.31,20.0,6.29,2022,,
