Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
,,15.27,16.91,10.16,6.36,,21.8,24.0,1.0,0.83,48.88,17.67,16.56,20.32,0.13,20.0,35.31,2019,Vellore Institute of Technology,IR-O-U-0490
,,10.39,27.07,17.91,8.92,,15.01,15.35,2.0,0.91,42.74,25.51,5.25,28.93,0.0,20.0,30.01,2019,University of Madras,IR-O-I-1357
,,16.08,16.4,10.36,8.18,,15.78,22.52,5.0,1.52,42.49,30.01,12.15,25.19,0.54,15.0,27.09,2019,Panjab University,IR-O-U-0078
,,8.56,30.0,17.18,19.06,,8.72,9.04,0.5,0.58,60.0,25.7,1.2,30.0,0.0,20.0,8.59,2019,Kerala University,IR-O-U-0260
,,10.93,26.4,15.31,10.34,,18.64,15.93,1.0,1.17,53.29,13.18,9.86,14.38,2.95,20.0,30.41,2019,Indian Institute of Engineering Science and Technology,IR-O-U-0584
,,7.75,30.0,15.67,15.39,,13.79,16.31,0.5,0.9,59.39,6.53,24.62,20.1,3.49,20.0,7.91,2019,Indian Institute of Science Education & Research Bhopal,IR-O-U-0272
,,12.99,19.29,13.13,8.82,,21.48,21.77,1.0,1.4,52.66,16.03,14.66,11.52,1.79,18.0,24.4,2019,National Institute of Technology Rourkela,IR-O-U-0357
,,14.37,19.04,12.49,10.77,,15.2,17.03,1.0,0.92,60.0,13.06,19.4,14.86,0.0,18.0,34.41,2019,Birla Institute of Technology & Science,IR-O-U-0391
,,7.53,30.0,16.84,15.62,,19.05,21.46,0.0,0.7,37.07,8.02,16.76,17.19,1.74,20.0,24.86,2019,Indian Institute of Science Education & Research Kolkata,IR-O-U-0572
,,14.59,30.0,17.02,11.35,,9.0,10.04,1.0,1.13,60.0,9.84,12.41,28.35,0.28,20.0,20.02,2019,Siksha “O° Anusandhan,IR-O-U-0363
,,6.95,30.0,19.27,23.6,,12.2,12.59,0.0,1.07,56.23,5.16,3.44,26.85,3.09,20.0,5.8,2019,King George's Medical University,IR-O-U-0523
,,16.0,20.56,12.44,9.2,,11.73,11.7,0.0,1.52,60.0,32.09,5.71,25.83,4.14,20.0,9.26,2019,Osmania University,IR-O-U-0027
,,7.42,27.59,16.8,15.81,,14.29,18.1,0.5,0.46,60.0,4.56,21.9,18.27,5.51,20.0,11.2,2019,Indian Institute of Technology Mandi,IR-O-U-0184
,,13.58,25.41,14.95,8.18,,16.51,17.37,1.5,0.92,59.02,6.29,14.24,21.68,0.65,20.0,10.24,2019,Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-O-I-1480
,,6.22,27.22,16.36,14.84,,15.56,15.47,1.0,0.88,53.02,2.55,21.96,11.43,4.22,20.0,25.99,2019,Indian Institute of Technology Bhubaneswar,IR-O-U-0355
,,10.63,30.0,17.13,8.96,,8.69,12.2,0.5,0.79,60.0,1.17,0.36,30.0,1.39,18.0,26.65,2019,Alagappa University,IR-O-U-0435
,,9.95,29.49,17.79,9.69,,13.72,14.37,1.0,1.02,54.28,9.19,3.57,25.61,1.82,20.0,15.71,2019,Tezpur University,IR-O-U-0056
,,7.28,24.26,14.18,20.78,,12.99,12.55,0.5,0.93,60.0,12.39,0.12,30.0,1.86,20.0,3.58,2019,Mahatma Gandhi University,IR-O-U-0262
,,19.0,24.34,14.26,8.41,,6.62,8.67,0.5,2.31,60.0,11.7,19.22,27.47,2.68,20.0,14.55,2019,Kalinga Institute of Industrial Technology,IR-O-U-0356
,,6.92,23.23,14.82,16.99,,13.67,16.01,0.5,1.26,51.6,4.62,20.24,16.16,5.2,20.0,24.17,2019,Indian Institute of Technology Gandhinagar,IR-O-U-0139
,,16.33,21.95,10.5,7.9,,9.97,13.02,2.0,1.52,60.0,18.07,16.23,21.61,0.25,20.0,14.26,2019,SRM Institute of Science and Technology,IR-O-U-0473
,,13.29,17.91,12.14,7.98,,15.79,14.35,0.5,1.64,60.0,11.35,16.06,12.28,2.55,20.0,29.4,2019,National Institute of Technology Karnataka,IR-O-U-0237
,,13.49,30.0,18.19,12.16,,4.69,10.07,1.0,0.81,48.71,21.78,4.61,30.0,0.43,20.0,6.15,2019,Sri Ramachandra Institute of Higher Education and Research,IR-O-I-1486
,,12.75,30.0,18.66,8.91,,4.85,8.32,1.5,1.07,60.0,5.48,18.75,30.0,1.5,20.0,10.24,2019,JSS Academy of Higher Education and Research,IR-O-U-0222
,,12.54,26.89,16.26,9.48,,3.64,3.51,0.0,2.82,60.0,19.76,18.99,30.0,2.17,20.0,12.14,2019,Tata Institute of Social Sciences,IR-O-U-0331
,,13.9,30.0,16.07,8.12,,7.63,5.82,4.0,0.31,60.0,4.96,21.02,30.0,1.51,20.0,3.19,2019,Bharath Institute of Higher Education & Research,IR-O-U-0446
,,6.72,28.79,16.9,14.52,,15.02,13.49,0.5,0.78,49.88,4.49,17.69,8.1,5.64,20.0,12.45,2019,Indian Institute of Technology Patna,IR-O-U-0064
,,13.07,24.53,13.5,9.55,,9.89,14.97,0.0,1.21,60.0,14.79,5.03,26.14,1.22,9.0,11.52,2019,Visva Bharati,IR-O-U-0589
,,11.43,30.0,18.0,12.14,,5.18,5.38,3.0,1.96,60.0,15.65,4.51,25.51,0.0,13.0,5.44,2019,G. B. Pant Universtiy of Agriculture and Technology,IR-O-U-0554
,,12.5,21.38,13.98,10.02,,12.43,11.13,0.5,0.65,60.0,7.97,18.91,14.85,3.69,20.0,19.51,2019,National Institute of Technology Warangal,IR-O-U-0025
,,12.39,27.52,16.28,11.67,,6.67,6.82,0.5,0.54,58.07,17.64,10.07,29.69,0.0,15.0,6.51,2019,North Eastern Hill University,IR-O-U-0341
,,15.48,23.27,12.11,4.69,,13.93,14.5,2.0,1.94,60.0,5.16,6.97,29.68,0.48,20.0,6.86,2019,Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476
,,13.44,27.24,13.02,5.47,,15.94,9.75,0.5,0.96,60.0,5.86,17.86,22.41,2.83,20.0,2.41,2019,Sathyabama Institute of Science and Technology,IR-O-U-0474
,,16.0,23.71,14.57,11.81,,7.71,9.71,0.0,0.66,58.78,15.92,2.95,30.0,2.3,9.0,9.59,2019,Gauhati University,IR-O-U-0052
,,8.68,26.49,16.68,14.58,,11.18,12.52,1.0,0.56,38.63,6.77,24.18,23.13,3.68,20.0,17.38,2019,Indian Institute of Science Education & Research Mohali,IR-O-U-0377
,,13.0,30.0,16.04,10.93,,11.28,5.92,0.0,44.0,60.0,2.16,16.58,27.03,3.53,20.0,0.0,2019,Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441
,,10.38,30.0,18.39,15.96,,3.9,4.27,1.0,2.41,52.29,17.01,1.95,29.8,2.35,11.0,11.52,2019,Tamil Nadu Agricultural University,IR-O-U-0485
,,7.34,30.0,18.58,8.02,,13.25,14.41,0.0,0.46,41.18,15.92,1.06,25.3,0.0,15.0,20.28,2019,Madurai Kamraj University,IR-O-U-0463
,,11.5,30.0,18.38,17.51,,2.79,3.27,0.5,1.06,58.11,4.35,13.58,30.0,0.13,20.0,7.56,2019,Dr. D. ¥. Patil Vidyapeeth,IR-O-I-1110
,,13.36,25.29,11.82,5.52,,10.54,11.41,0.5,1.89,60.0,6.89,13.22,19.65,1.75,20.0,19.51,2019,Delhi Technological University,IR-O-U-0098
,,12.49,17.67,12.06,5.7,,12.48,13.82,0.0,0.33,47.09,26.21,16.05,21.81,1.43,20.0,19.25,2019,Pondicherry University,IR-O-U-0369
,,12.18,28.17,15.56,6.56,,10.58,11.92,0.0,1.1,46.76,22.87,0.05,25.76,2.97,16.0,6.51,2019,Sri Venkateswara University,IR-O-U-0037
,,14.47,30.0,16.58,6.12,,9.08,8.47,1.0,0.52,60.0,3.8,9.27,24.56,3.33,20.0,3.58,2019,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020
,,10.17,30.0,17.65,19.14,,7.61,7.45,2.0,2.67,43.37,12.85,12.23,26.86,0.85,12.0,3.19,2019,Punjab Agricultural University,IR-O-U-0381
,,13.0,30.0,14.51,6.17,,5.81,5.89,0.0,0.91,59.42,1.61,1.28,26.3,2.38,20.0,43.66,2019,PSG College of Technology,IR-O-C-37013
,,8.11,30.0,17.56,13.79,,5.73,7.32,0.5,0.49,60.0,1.53,20.27,24.15,0.19,20.0,6.15,2019,Shiv Nadar University,IR-O-U-0642
,,11.5,27.42,15.56,7.92,,12.33,9.65,0.5,49.0,60.0,3.44,3.03,26.72,3.17,20.0,7.56,2019,Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604
,,14.4,23.04,14.47,7.91,,7.4,9.51,0.0,1.42,60.0,19.2,0.0,27.28,0.08,20.0,1.63,2019,University of Kashmir,IR-O-U-0196
,,13.36,23.53,14.21,6.2,,7.16,8.2,1.5,1.29,60.0,18.43,3.41,25.55,3.71,20.0,4.7,2019,Mysore University,IR-O-U-0235
,,13.79,15.25,8.63,8.83,,11.37,14.5,0.5,3.01,55.13,19.59,2.14,29.34,2.54,20.0,5.8,2019,Guru Nanak Dev University,IR-O-U-0376
,,14.5,30.0,13.52,11.99,,1.69,3.66,0.5,3.58,60.0,1.03,21.97,28.47,2.44,20.0,3.19,2019,Symbiosis International,IR-O-U-0329
,,12.73,28.58,13.84,13.69,,3.06,3.45,0.5,4.67,60.0,4.22,16.17,29.03,0.01,20.0,1.22,2019,"SVKM""s Narsee Monjee Institute of Management Studies",IR-O-N-10
,,14.67,18.82,10.11,6.51,,10.75,11.79,4.0,1.76,60.0,5.48,15.37,26.54,0.02,20.0,7.22,2019,Amity University,IR-O-U-0497
,,10.72,21.89,14.03,8.08,,14.91,12.06,2.0,0.5,50.86,6.11,11.71,20.23,0.94,12.0,23.47,2019,Birla Institute of Technology,IR-O-U-0202
,,8.06,26.27,16.14,10.27,,13.75,14.25,0.5,0.54,33.28,15.65,0.54,24.51,2.72,15.0,24.17,2019,Bharathidasan University,IR-O-U-0448
,,16.06,18.91,11.08,4.35,,3.92,5.76,0.5,1.5,60.0,24.87,21.93,30.0,0.09,2.0,4.33,2019,Banasthali Vidyapith,IR-O-U-0389
,,17.49,25.25,14.39,6.77,,3.0,4.65,1.0,2.77,51.11,13.38,11.88,27.3,1.04,20.0,13.66,2019,Bharati Vidyapeeth,IR-O-I-1361
,,9.19,30.0,17.37,20.32,,3.26,1096.0,0.5,1.19,50.67,5.73,2.35,20.49,6.66,20.0,2.02,2019,Chaudhary Charan Singh Haryana Agricultural University,IR-O-U-0159
,,9.43,19.66,12.71,14.52,,7.38,8.5,0.5,0.07,60.0,11.53,2.09,27.5,5.87,18.0,7.22,2019,Calicut University,IR-O-U-0251
,,11.0,24.93,11.76,8.66,,10.46,6.63,2.0,1.43,60.0,1.36,3.64,24.19,4.45,20.0,15.42,2019,College of Engineering,IR-O-C-41593
,,9.5,30.0,19.22,16.74,,1.23,0.67,1.0,0.26,58.8,1.77,9.48,30.0,0.0,20.0,0.82,2019,Datta Meghe Institute of Medical Sciences,IR-O-U-0295
,,11.16,16.81,10.88,8.21,,15.19,13.37,0.0,0.4,60.0,4.01,14.48,10.77,4.45,18.0,12.14,2019,National Institute of Technology Durgapur,IR-O-U-0577
,,11.43,16.83,11.28,7.68,,13.44,11.06,1.5,0.89,54.24,10.57,1.21,25.07,1.27,20.0,14.84,2019,Cochin University of Science and Technology,IR-O-U-0253
,,11.0,22.61,13.08,9.69,,8.76,7.76,1.5,0.95,60.0,4.62,5.15,27.85,0.19,20.0,3.58,2019,Guru Gobind Singh Indraprastha University,IR-O-U-0099
,,8.5,30.0,16.1,14.89,,4.94,4.11,0.0,3.2,48.88,10.23,1.72,16.84,2.89,20.0,7.22,2019,Anand Agricultural University,IR-O-U-0123
,,7.96,23.94,15.73,4.68,,9.37,10.56,0.5,0.31,45.28,13.85,1.62,29.41,4.23,18.0,19.25,2019,Periyar University,IR-O-U-0470
,,11.06,30.0,17.31,12.85,,2.6,3.62,0.0,2.51,46.29,3.22,15.28,30.0,0.76,20.0,4.33,2019,KLE Academy of Higher Education and Research,IR-O-U-0225
,,7.1,30.0,16.49,17.4,,3.28,2.13,1.5,1.1,60.0,2.85,2.44,25.78,5.91,10.0,2.02,2019,Tamil Nadu Veterinary & Animal Sciences University,IR-O-U-0487
,,9.4,30.0,17.42,13.56,,4.58,4.03,0.0,0.7,48.17,0.44,15.77,30.0,0.34,20.0,6.51,2019,NITTE,IR-O-U-0239
,,10.25,30.0,18.3,26.0,,35.0,35.0,14.0,7.08,47.13,28.35,21.12,9.5,4.08,9.0,100,2018,Indian Institute of Science,IR-1-O-O-U-0220
,,17.0,27.77,17.92,19.0,,28.28,28.93,13.0,11.21,60.0,25.36,22.86,13.37,8.57,20.0,86.61,2018,Indian Institute of Technology Madras,IR-2-O-OE-U-0456
,,17.0,28.55,19.2,16.59,,29.83,31.68,15.0,9.08,57.85,23.68,22.23,13.23,6.07,7.0,79.61,2018,Indian Institute of Technology Bombay,IR-3-O-OEM-U-0306
,,14.85,24.41,15.89,18.22,,29.61,31.18,9.0,8.88,52.88,22.02,23.01,13.65,4.3,20.0,72.79,2018,Indian Institute of Technology Delhi,IR-3-O-OEM-I-1074
,,16.56,23.25,15.21,12.95,,28.36,32.47,7.0,6.74,56.76,27.23,22.39,10.71,3.06,20.0,62.12,2018,Indian Institute of Technology Kharagpur,IR-5-O-OEMAL-U-0573
,,13.51,29.34,17.07,14.08,,17.5,19.96,3.0,2.14,60.0,39.12,24.16,26.69,5.47,20.0,46.28,2018,Jawaharlal Nehru University,IR-1-O-O-U-0109
,,14.69,24.67,16.74,15.61,,26.01,26.92,10.0,5.7,42.95,19.81,17.37,8.47,4.97,9.0,67.59,2018,Indian Institute of Technology Kanpur,IR-3-O-OEM-I-1075
,,15.09,23.11,15.14,12.53,,26.62,29.38,0.5,5.09,60.0,25.29,24.19,11.78,2.68,20.0,37.56,2018,Indian Institute of Technology Roorkee,IR-4-O-OEMA-U-0560
,,18.62,21.64,14.43,10.46,,17.45,27.19,1.5,4.62,60.0,35.42,7.25,22.39,3.49,20.0,43.62,2018,Banaras Hindu University,IR-3-O-OMD-U-0500
,,15.78,21.87,12.6,7.06,,24.79,25.88,5.0,5.09,59.68,19.47,1.09,26.7,4.75,20.0,63.22,2018,	Anna University,IR-4-O-OEMA-U-0439
,,12.11,30.0,19.63,12.62,,21.09,20.68,1.5,2.08,60.0,24.45,13.04,25.66,0.0,17.0,21.66,2018,University of Hyderabad,IR-1-O-O-U-0042
,,12.74,30.0,18.94,17.57,,24.38,24.64,0.5,2.61,45.92,17.28,24.34,12.6,1.02,15.0,28.01,2018,Indian Institute of Technology Guwahati,IR-2-O-OE-U-0053
,,17.64,19.69,12.7,7.06,,23.33,27.39,2.5,3.85,58.94,32.45,3.3,21.5,2.2,9.0,35.5,2018,Jadavpur University,IR-2-O-OE-U-0575
,,17.54,15.35,9.68,9.95,,20.94,30.01,3.0,4.21,45.14,40.0,4.7,26.44,0.13,20.0,33.15,2018,University of Delhi,IR-1-O-O-U-0120
,,15.33,29.83,16.55,12.34,,15.1,18.47,3.0,6.99,60.0,11.03,9.22,28.46,0.59,20.0,31.44,2018,Amrita Vishwa Vidyapeetham,IR-1-O-O-U-0436
,,14.51,24.07,14.44,17.69,,18.57,20.86,1.0,3.21,60.0,24.55,2.9,26.44,5.96,20.0,15.04,2018,Savitribai Phule Pune University,IR-1-O-O-U-0323
,,17.65,24.94,15.66,12.02,,13.82,22.02,0.5,0.53,60.0,30.56,6.79,25.23,3.01,14.0,26.3,2018,Aligarh Muslim University,IR-7-O-OEMALDC-U-0496
,,15.39,29.97,16.03,14.65,,16.03,19.05,5.0,4.08,47.76,13.53,17.67,25.69,0.87,20.0,26.3,2018,Manipal Academy of Higher Education,IR-1-O-O-U-0234
,,15.95,28.47,16.1,11.81,,12.56,17.13,1.0,2.52,55.86,26.4,18.64,27.06,3.16,20.0,11.76,2018,Jamia Millia Islamia,IR-5-O-OEMAL-U-0108
,,8.67,28.86,17.34,10.67,,21.88,18.51,0.5,0.81,60.0,16.95,2.43,30.0,3.2,17.0,22.63,2018,Bharathiar University,IR-1-O-C-U-0447
,,12.49,15.52,10.48,6.97,,17.8,22.14,8.0,2.32,60.0,26.81,1.83,27.32,0.56,17.0,26.3,2018,Calcutta University,IR-1-O-O-U-0570
,,8.74,30.0,16.79,16.19,,16.98,14.58,2.0,1.77,60.0,5.12,16.97,14.14,5.97,20.0,22.15,2018,Indian Institute of Technology Hyderabad,IR-2-O-OE-U-0013
,,7.88,30.0,19.25,25.95,,13.83,13.99,1.0,0.89,56.56,6.15,3.95,27.08,8.63,20.0,3.93,2018,King George`s Medical University,IR-1-O-D-U-0523
,,15.77,17.51,10.04,6.98,,19.89,26.19,0.5,0.84,53.09,15.34,16.89,20.55,2.58,20.0,36.71,2018,Vellore Institute of Technology,IR-3-O-OEM-U-0490
,,6.5,30.0,17.14,17.24,,17.68,17.16,0.0,0.76,60.0,5.91,17.04,18.85,7.04,20.0,11.13,2018,Indian Institute of Science Education & Research Kolkata,IR-1-O-O-U-0572
,,14.27,21.47,13.27,12.02,,14.7,19.11,1.0,0.74,60.0,9.33,19.76,16.57,1.39,20.0,35.32,2018,Birla Institute of Technology & Science,IR-3-O-OEP-U-0391
,,14.86,17.27,11.39,10.95,,19.02,21.26,1.0,2.96,59.32,15.04,21.6,6.23,13.26,20.0,14.46,2018,Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-2-O-OE-U-0205
,,13.44,19.58,12.76,12.07,,22.71,22.72,1.0,2.11,58.06,8.94,17.7,7.09,10.71,7.0,22.87,2018,Indian Institute of Technology (Banaras Hindu University) Varanas,IR-1-O-E-U-0701
,,9.77,27.69,18.16,10.44,,15.3,15.19,2.0,0.91,43.92,24.69,5.78,27.3,0.0,20.0,26.52,2018,University of Madras,IR-1-O-O-I-1357
,,8.19,19.96,13.42,12.25,,17.97,17.22,11.0,2.33,54.63,14.55,3.16,24.97,4.42,20.0,15.9,2018,Institute of Chemical Technology,IR-3-O-OEP-U-0308
,,13.86,20.38,12.33,10.52,,15.63,16.91,0.0,1.83,60.0,6.99,17.19,19.48,4.14,20.0,38.55,2018,National Institute of Technology Tiruchirappalli,IR-2-O-OE-U-0467
,,5.64,30.0,17.69,13.24,,14.99,16.29,0.0,1.76,55.08,6.32,17.02,22.66,3.17,20.0,25.85,2018,Indian Institute of Science Education & Research Pune,IR-1-O-O-U-0305
,,17.33,16.04,10.35,8.88,,15.22,26.34,2.0,1.18,44.48,28.69,11.98,26.31,0.24,9.0,23.58,2018,Panjab University,IR-6-O-OEMLDP-U-0078
,,6.85,30.0,18.61,26.98,,4.02,3.21,0.0,7.3,60.0,1.99,24.25,21.8,0.0,20.0,27.8,2018,Indian Institute of Management Calcutta,IR-1-O-M-S-8972
,,12.78,30.0,17.87,9.57,,12.56,14.2,2.0,0.46,60.0,3.76,22.34,30.0,6.82,20.0,2.4,2018,Bharath Institute of Higher Education & Research,IR-1-O-O-U-0446
,,14.93,25.23,15.4,10.42,,9.43,9.97,0.5,5.22,60.0,23.14,2.04,28.96,3.75,20.0,9.53,2018,Andhra University,IR-6-O-OEMALP-U-0006
,,10.09,29.9,17.29,10.39,,12.69,15.87,2.0,1.73,60.0,14.48,14.33,28.2,0.6,9.0,2.01,2018,Jamia Hamdard,IR-5-O-OEMDP-U-0107
,,15.12,30.0,17.32,11.9,,9.3,12.62,0.5,0.98,60.0,6.21,11.82,28.73,2.52,20.0,7.17,2018,	Siksha `O` Anusandhan,IR-2-O-OD-U-0363
,,7.3,29.73,18.05,18.65,,12.5,13.24,0.5,1.05,53.57,3.22,21.51,19.47,4.49,15.0,15.9,2018,Indian Institute of Technology Gandhinagar,IR-2-O-OE-U-0139
,,11.79,30.0,19.22,17.59,,3.46,6.47,1.0,2.06,57.25,18.33,1.81,30.0,5.26,17.0,12.07,2018,Tamil Nadu Agricultural University,IR-1-O-O-U-0485
,,7.87,30.0,17.44,28.83,,2.15,9.42,0.0,2.6,45.16,24.97,11.47,19.28,0.0,14.0,9.85,2018,Homi Bhabha National Institute,IR-1-O-O-U-0304
,,13.49,20.21,13.26,8.9,,19.39,20.64,0.5,1.39,55.14,14.59,15.52,13.07,2.81,14.0,9.85,2018,National Institute of Technology Rourkela,IR-2-O-OE-U-0357
,,8.69,30.0,16.76,10.02,,8.84,12.71,0.0,0.71,60.0,10.4,0.36,30.0,2.83,20.0,24.5,2018,	Alagappa University,IR-1-O-C-U-0435
,,10.66,23.45,14.65,11.25,,17.95,15.63,0.5,1.41,53.12,10.94,9.35,15.6,1.42,17.0,22.63,2018,"Indian Institute of Engineering Science and Technology, Shibpur",IR-2-O-OE-U-0584
,,16.0,18.4,10.8,9.89,,11.25,13.28,0.5,0.87,60.0,33.35,6.55,25.11,4.04,9.0,5.76,2018,Osmania University,IR-1-O-O-U-0027
,,9.77,28.4,17.09,11.35,,13.59,15.53,0.5,0.92,56.98,8.28,3.57,25.48,1.25,17.0,10.82,2018,Tezpur University,IR-1-O-O-U-0056
,,9.17,24.88,14.69,16.43,,9.07,9.13,1.0,0.59,60.0,23.76,0.6,30.0,0.0,17.0,7.17,2018,Kerala University,IR-1-O-O-U-0260
,,15.0,24.43,13.54,10.52,,9.01,17.03,0.5,0.91,60.0,12.24,3.41,29.14,1.32,20.0,5.03,2018,Visva Bharati,IR-1-O-O-U-0589
,,12.67,28.97,17.49,9.85,,2.5,3.72,0.0,3.49,60.0,18.3,18.94,30.0,2.62,20.0,10.08`,2018,Tata Institute of Social Sciences,IR-1-O-O-U-0331
,,12.02,23.83,13.67,8.72,,14.85,17.33,2.0,0.78,56.08,9.28,13.07,22.05,2.16,20.0,3.55,2018,Thapar Institute of Engineering and Technology,IR-2-O-EM-I-1480
,,5.99,29.46,18.07,17.43,,14.66,12.18,0.5,0.8,49.93,2.43,20.65,12.62,6.51,20.0,8.87,2018,	Indian Institute of Technology Bhubaneswar,IR-2-O-OE-U-0355
,,12.22,30.0,16.91,13.01,,4.53,6.34,2.0,2.16,58.62,16.83,6.9,27.72,1.54,12.0,5.03,2018,G. B. Pant Universtiy of Agriculture and Technology,IR-1-O-O-U-0554
,,7.45,22.73,13.56,20.48,,11.04,10.52,0.5,0.83,60.0,12.84,0.21,30.0,1.55,20.0,6.82,2018,Mahatma Gandhi University,IR-1-O-O-U-0262
,,15.5,21.82,10.99,5.13,,14.11,17.12,1.0,2.34,60.0,4.43,5.87,30.0,3.08,20.0,11.45,2018,Shanmugha Arts Science Technology & Research Academy,IR-4-O-OEML-U-0476
,,5.77,26.2,16.59,14.76,,10.18,10.13,0.5,0.53,59.19,4.1,21.0,18.88,5.17,20.0,16.73,2018,Indian Institute of Science Education & Research Mohali,IR-1-O-O-U-0377
,,6.5,26.24,14.97,13.74,,12.18,13.23,0.8,0.69,57.89,4.94,25.0,15.2,3.51,20.0,7.86,2018,Indian Institute of Science Education & Research Bhopal,IR-1-O-O-U-0272
,,13.3,18.57,12.45,8.34,,13.82,12.73,0.5,2.46,60.0,8.64,15.21,12.83,3.67,20.0,25.85,2018,National Institute of Technology Surathkal,IR-2-O-OE-U-0237
,,4.37,28.02,17.68,19.73,,7.14,12.88,0.0,0.44,56.5,3.01,5.62,19.21,2.74,20.0,22.39,2018,Indian Institute of Science Education & Research Thiruvananthapuram,IR-1-O-O-U-0254
,,11.97,29.7,19.38,7.95,,6.57,9.09,0.5,1.08,57.53,4.36,17.6,30.0,1.04,20.0,6.47,2018,	JSS Academy of Higher Education and Research,IR-2-O-OP-U-0222
,,11.97,30.0,17.48,21.01,,6.72,8.86,1.0,2.77,41.94,12.08,1.82,30.0,1.9,9.0,5.4,2018,Punjab Agricultural University,IR-1-O-O-U-0381
,,16.0,22.81,14.23,11.87,,7.66,11.11,0.5,0.53,5.03,17.87,3.02,30.0,2.42,9.0,6.11,2018,Gauhati University,IR-1-O-O-U-0052
,,12.32,30.0,18.73,15.84,,4.54,13.7,0.5,0.76,46.22,5.19,4.95,30.0,0.15,20.0,5.76,2018,Sri Ramachandra Medical College and Research Institute,IR-3-O-ODP-I-1486
,,16.69,21.11,10.02,9.06,,9.13,16.86,1.0,1.55,60.0,4.68,15.54,21.5,0.53,20.0,8.53,2018,SRM Institute of Science and Technology,IR-5-O-OEMDP-U-0473
,,13.0,29.37,14.23,6.0,,7.29,8.5,0.0,1.13,60.0,1.14,1.19,26.57,2.01,20.0,38.71,2018,PSG College of Technology,IR-3-O-OEM-C-37013
,,17.39,19.71,11.29,8.93,,5.33,11.92,0.5,4.77,60.0,9.57,18.36,25.32,2.26,20.0,3.55,2018,Kalinga Institute of Industrial Technology,IR-5-O-OEMLD-U-0356
,,10.8,23.6,14.47,8.85,,14.09,12.91,2.0,0.46,54.82,6.49,11.24,21.61,2.58,17.0,10.5,2018,Birla Institute of Technology,IR-5-O-OEMAP-U-0202
,,13.5,30.0,13.01,13.22,,1.38,5.9,0.5,4.68,60.0,0.9,21.16,28.54,1.54,20.0,6.11,2018,Symbiosis International,IR-1-O-O-U-0329
,,14.03,21.57,10.53,6.25,,16.17,10.9,1.5,0.86,60.0,5.31,16.2,23.92,3.02,20.0,4.3,2018,Sathyabama Institute of Science and Technology,IR-4-O-OEMA-U-0474
,,6.84,29.82,17.09,14.06,,13.48,10.67,0.5,0.77,48.84,4.03,17.77,8.78,3.38,20.0,7.17,2018,Indian Institute of Technology Patna,IR-2-O-OE-U-0064
,,13.0,25.0,16.13,11.28,,10.98,4.73,0.0,2.96,60.0,0.34,11.29,28.22,4.4,20.0,3.17,2018,Saveetha Institute of Medical and Technical Sciences,IR-2-O-OD-I-1441
,,14.8,23.51,14.77,9.31,,7.18,11.33,0.0,1.57,60.0,17.61,0.01,27.69,0.29,9.0,0,2018,University of Kashmir,IR-1-O-O-U-0196
,,7.0,30.0,17.25,14.96,,4.82,7.45,0.0,0.28,60.0,0.17,21.04,23.63,6.52,20.0,0,2018,Shiv Nadar University,IR-1-O-O-U-0642
,,10.0,28.17,15.49,8.86,,11.0,8.31,0.5,0.5,60.0,2.21,1.75,27.15,3.53,20.0,10.82,2018,Sri Sivasubramaniya Nadar College of Engineering,IR-1-O-E-C-16604
,,11.62,26.43,15.32,7.07,,10.76,13.68,0.5,0.99,38.87,22.79,0.0,25.66,4.36,20.0,2.01,2018,Sri Venkateswara University,IR-2-O-OE-U-0037
,,5.86,30.0,19.43,27.42,,0.6,1.37,0.0,0.15,57.99,0.66,2.46,30.0,0.6,17.0,10.5,2018,PSG Institute of Medical Sciences & Research,IR-1-O-D-C-45515
,,8.54,30.0,16.7,23.06,,2.84,2.75,1.5,0.94,52.41,12.65,1.59,27.33,3.11,9.0,2.01,2018,Chaudhary Charan Singh Haryana Agricultural UniversitY,IR-1-O-O-U-0159
,,12.09,27.32,16.43,9.38,,6.22,11.88,0.5,0.29,55.6,13.87,0.05,30.0,0.39,9.0,1.24,2018,University of Jammu,IR-3-O-OML-U-0195
,,12.5,19.33,12.85,11.5,,10.77,10.75,0.5,0.71,60.0,7.06,18.23,13.24,3.25,20.0,6.11,2018,National Institute of Technology Warangal,IR-2-O-OE-U-0025
,,9.7,30.0,19.3,17.38,,3.69,4.3,0.0,0.27,52.25,4.49,12.32,30.0,0.59,20.0,1.22,2018,Dr. D. Y. Patil Vidyapeeth,IR-2-O-OD-I-1110
,,13.68,18.56,9.36,7.14,,7.86,15.27,5.0,1.98,59.46,3.49,15.82,25.88,0.41,20.0,5.4,2018,Amity University,IR-6-O-OEMALP-U-0497
,,7.77,30.0,15.62,8.19,,12.71,14.83,0.0,0.5,36.75,13.11,1.13,23.99,0.0,20.0,16.18,2018,Madurai Kamraj University,IR-1-O-O-U-0463
