Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Tata Institute of Social Sciences,IR-1-O-O-U-0331,12.67,28.97,17.49,9.85,2.5,3.72,0.0,3.49,60.0,18.3,18.94,30.0,2.62,20.0,10.08`,49.0,2018,,,0.0,49.037266
Thapar Institute of Engineering and Technology,IR-2-O-EM-I-1480,12.02,23.83,13.67,8.72,14.85,17.33,2.0,0.78,56.08,9.28,13.07,22.05,2.16,20.0,3.55,50.0,2018,,,0.0,50.019585
	Indian Institute of Technology Bhubaneswar,IR-2-O-OE-U-0355,5.99,29.46,18.07,17.43,14.66,12.18,0.5,0.8,49.93,2.43,20.65,12.62,6.51,20.0,8.87,51.0,2018,,,0.0,50.998016
G. B. Pant Universtiy of Agriculture and Technology,IR-1-O-O-U-0554,12.22,30.0,16.91,13.01,4.53,6.34,2.0,2.16,58.62,16.83,6.9,27.72,1.54,12.0,5.03,52.0,2018,,,0.0,52.0135
Mahatma Gandhi University,IR-1-O-O-U-0262,7.45,22.73,13.56,20.48,11.04,10.52,0.5,0.83,60.0,12.84,0.21,30.0,1.55,20.0,6.82,53.0,2018,,,0.0,52.997105
Shanmugha Arts Science Technology & Research Academy,IR-4-O-OEML-U-0476,15.5,21.82,10.99,5.13,14.11,17.12,1.0,2.34,60.0,4.43,5.87,30.0,3.08,20.0,11.45,54.0,2018,,,0.0,54.02274
Indian Institute of Science Education & Research Mohali,IR-1-O-O-U-0377,5.77,26.2,16.59,14.76,10.18,10.13,0.5,0.53,59.19,4.1,21.0,18.88,5.17,20.0,16.73,55.0,2018,,,0.0,55.02526
Indian Institute of Science Education & Research Bhopal,IR-1-O-O-U-0272,6.5,26.24,14.97,13.74,12.18,13.23,0.8,0.69,57.89,4.94,25.0,15.2,3.51,20.0,7.86,56.0,2018,,,0.0,55.98526
National Institute of Technology Surathkal,IR-2-O-OE-U-0237,13.3,18.57,12.45,8.34,13.82,12.73,0.5,2.46,60.0,8.64,15.21,12.83,3.67,20.0,25.85,57.0,2018,,,0.0,57.02009
Indian Institute of Science Education & Research Thiruvananthapuram,IR-1-O-O-U-0254,4.37,28.02,17.68,19.73,7.14,12.88,0.0,0.44,56.5,3.01,5.62,19.21,2.74,20.0,22.39,58.0,2018,,,0.0,57.99842
