Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR
DR. D. Y. Patil Vidyapeeth,(IR-O-I-1110),12.05,25,18.31,14.43,0,6.14,10.31,1,1.76,60,4.27,11.26,30,0.04,20,10.89
"National Institute of Technology, Silchar ",(IR-O-U-0055),11.71,18.14,14.57,7.84,0,17.56,16.91,2,0.37,59.63,8.8,14.33,15.46,7.31,20,6.29
Babasheb Bhimrao Ambedkar University ,(IR-O-U-0498),13.23,19.25,15.84,5.23,0,7.6,11.18,0.5,0.4,60,22.46,16.82,30,7.77,20,4.8
Indian Institute of Management Kozhikode ,(IR-O-S-8909),7,25,17.64,16.29,0,3.06,5.83,0,6.62,60,1.55,25.02,27.31,0,20,23.89
Guru Nanak Dev University ,(IR-O-U-0376),14.89,17.82,10.84,751,0,10.05,14.37,1,3.31,60,18.53,3.99,29.75,2.86,20,10.01
Mumbai University ,(IR-O-U-0318),15.72,16.01,10.57,10.87,2,7.27,8.44,5,1.82,60,22.54,2.85,28.93,417,20,7.26
Bharathidasan University ,(IR-O-U-0448),8.06,23.16,17.27,9.22,0,15.72,16.08,0,0.76,48.5,13.3,1.01,26.23,0.87,20,18.81
Sri Ramachandra Institute of Higher Education and Research ,(IR-O-1-1486),12.65,25,17.95,14.08,0,6.08,8.04,1,1.95,60,4.33,11.21,30,3.87,20,6.78
University of Kashmir ,(IR-O-U-0196),15.92,18.94,14.8,7.42,3.5,8,11.34,0,1.89,60,19.56,0,29.44,1.93,20,3.78
"Dr. B R Ambedkar National Institute of Technology, Jalandhar ",(IR-O-U-0374),11.85,24.77,14.53,6.52,0,12.96,14.04,0.5,0.38,60,6.39,15,21,8.32,20,4.8
All India Institute of Medical Sciences Jodhpur ,(IR-O-U-0689),5.81,25,18.25,15.31,0,12.84,12.49,0.5,40,60,40,13.2,27.47,0.83,20,4.3
Banasthali Vidyapith,(IR-O-U-0389),16.5,17.35,12.31,5.35,1.5,5.7,8.67,0,1.62,60,24.96,24,30,1.82,20,5.31
Madurai Kamaraj University ,(IR-O-U-0463),7.72,25,19.13,8.98,2.5,10.43,13.08,0,0.53,54.04,11.2,3.32,29.14,0,20,12.6
