Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank
Indian Institute of Science,IR-1-O-O-U-0220,10.25,30,18.3,26,35,35,14,7.08,47.13,28.35,21.12,9.5,4.08,9,100,1
Indian Institute of Technology Madras,IR-2-O-OE-U-0456,17,27.77,17.92,19,28.28,28.93,13,11.21,60,25.36,22.86,13.37,8.57,20,86.61,2
Indian Institute of Technology Bombay,IR-3-O-OEM-U-0306,17,28.55,19.2,16.59,29.83,31.68,15,9.08,57.85,23.68,22.23,13.23,6.07,7,79.61,3
Indian Institute of Technology Delhi,IR-3-O-OEM-I-1074,14.85,24.41,15.89,18.22,29.61,31.18,9,8.88,52.88,22.02,23.01,13.65,4.3,20,72.79,4
Indian Institute of Technology Kharagpur,IR-5-O-OEMAL-U-0573,16.56,23.25,15.21,12.95,28.36,32.47,7,6.74,56.76,27.23,22.39,10.71,3.06,20,62.12,5
Jawaharlal Nehru University,IR-1-O-O-U-0109,13.51,29.34,17.07,14.08,17.5,19.96,3,2.14,60,39.12,24.16,26.69,5.47,20,46.28,6
Indian Institute of Technology Kanpur,IR-3-O-OEM-I-1075,14.69,24.67,16.74,15.61,26.01,26.92,10,5.7,42.95,19.81,17.37,8.47,4.97,9,67.59,7
Indian Institute of Technology Roorkee,IR-4-O-OEMA-U-0560,15.09,23.11,15.14,12.53,26.62,29.38,0.500,5.09,60,25.29,24.19,11.78,2.68,20,37.56,8
Banaras Hindu University,IR-3-O-OMD-U-0500,18.62,21.64,14.43,10.46,17.45,27.19,1.5,4.62,60,35.42,7.25,22.39,3.49,20,43.62,9
	Anna University,IR-4-O-OEMA-U-0439,15.78,21.87,12.6,7.06,24.79,25.88,5,5.09,59.68,19.47,1.09,26.7,4.75,20,63.22,10
University of Hyderabad,IR-1-O-O-U-0042,12.11,30,19.63,12.62,21.09,20.68,1.5,2.08,60,24.45,13.04,25.66,0,17,21.66,11
Indian Institute of Technology Guwahati,IR-2-O-OE-U-0053,12.74,30,18.94,17.57,24.38,24.64,0.5,2.61,45.92,17.28,24.34,12.6,1.02,15,28.01,12
Jadavpur University,IR-2-O-OE-U-0575,17.64,19.69,12.7,7.06,23.33,27.39,2.5,3.85,58.94,32.45,3.3,21.5,2.2,9,35.5,13
University of Delhi,IR-1-O-O-U-0120,17.54,15.35,9.68,9.95,20.94,30.01,3,4.21,45.14,40,4.7,26.44,0.13,20,33.15,14
Amrita Vishwa Vidyapeetham,IR-1-O-O-U-0436,15.33,29.83,16.55,12.34,15.1,18.47,3,6.99,60,11.03,9.22,28.46,0.59,20,31.44,15
Savitribai Phule Pune University,IR-1-O-O-U-0323,14.51,24.07,14.44,17.69,18.57,20.86,1,3.21,60,24.55,2.9,26.44,5.96,20,15.04,16
Aligarh Muslim University,IR-7-O-OEMALDC-U-0496,17.65,24.94,15.66,12.02,13.82,22.02,0.5,0.53,60,30.56,6.79,25.23,3.01,14,26.3,17
Manipal Academy of Higher Education,IR-1-O-O-U-0234,15.39,29.97,16.03,14.65,16.03,19.05,5,4.08,47.76,13.53,17.67,25.69,0.87,20,26.3,18
Jamia Millia Islamia,IR-5-O-OEMAL-U-0108,15.95,28.47,16.1,11.81,12.56,17.13,1,2.52,55.86,26.4,18.64,27.06,3.16,20,11.76,19
Bharathiar University,IR-1-O-C-U-0447,8.67,28.86,17.34,10.67,21.88,18.51,0.5,0.81,60,16.95,2.43,30,3.2,17,22.63,20
Calcutta University,IR-1-O-O-U-0570,12.49,15.52,10.48,6.97,17.8,22.14,8,2.32,60,26.81,1.83,27.32,0.56,17,26.3,21
Indian Institute of Technology Hyderabad,IR-2-O-OE-U-0013,8.74,30,16.79,16.19,16.98,14.58,2,1.77,60,5.12,16.97,14.14,5.97,20,22.15,22
King George`s Medical University,IR-1-O-D-U-0523,7.88,30,19.25,25.95,13.83,13.99,1,0.89,56.56,6.15,3.95,27.08,8.63,20,3.93,23
Vellore Institute of Technology,IR-3-O-OEM-U-0490,15.77,17.51,10.04,6.98,19.89,26.19,0.5,0.84,53.09,15.34,16.89,20.55,2.58,20,36.71,24
Indian Institute of Science Education & Research Kolkata,IR-1-O-O-U-0572,6.5,30,17.14,17.24,17.68,17.16,0,0.76,60,5.91,17.04,18.85,7.04,20,11.13,25
Birla Institute of Technology & Science,IR-3-O-OEP-U-0391,14.27,21.47,13.27,12.02,14.7,19.11,1,0.74,60,9.33,19.76,16.57,1.39,20,35.32,26
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-2-O-OE-U-0205,14.86,17.27,11.39,10.95,19.02,21.26,1,2.96,59.32,15.04,21.6,6.23,13.26,20,14.46,27
Indian Institute of Technology (Banaras Hindu University) Varanas,IR-1-O-E-U-0701,13.44,19.58,12.76,12.07,22.71,22.72,1,2.11,58.06,8.94,17.7,7.09,10.71,7,22.87,28
University of Madras,IR-1-O-O-I-1357,9.77,27.69,18.16,10.44,15.3,15.19,2,0.91,43.92,24.69,5.78,27.3,0,20,26.52,29
Institute of Chemical Technology,IR-3-O-OEP-U-0308,8.19,19.96,13.42,12.25,17.97,17.22,11,2.33,54.63,14.55,3.16,24.97,4.42,20,15.9,30
National Institute of Technology Tiruchirappalli,IR-2-O-OE-U-0467,13.86,20.38,12.33,10.52,15.63,16.91,0,1.83,60,6.99,17.19,19.48,4.14,20,38.55,31
Indian Institute of Science Education & Research Pune,IR-1-O-O-U-0305,5.64,30,17.69,13.24,14.99,16.29,0,1.76,55.08,6.32,17.02,22.66,3.17,20,25.85,32
Panjab University,IR-6-O-OEMLDP-U-0078,17.33,16.04,10.35,8.88,15.22,26.34,2,1.18,44.48,28.69,11.98,26.31,0.24,9,23.58,33
Indian Institute of Management Calcutta,IR-1-O-M-S-8972,6.85,30,18.61,26.98,4.02,3.21,0,7.3,60,1.99,24.25,21.8,0,20,27.8,34
Bharath Institute of Higher Education & Research,IR-1-O-O-U-0446,12.78,30,17.87,9.57,12.56,14.2,2,0.46,60,3.76,22.34,30,6.82,20,2.4,35
Andhra University,IR-6-O-OEMALP-U-0006,14.93,25.23,15.4,10.42,9.43,9.97,0.5,5.22,60,23.14,2.04,28.96,3.75,20,9.53,36
Jamia Hamdard,IR-5-O-OEMDP-U-0107,10.09,29.9,17.29,10.39,12.69,15.87,2,1.73,60,14.48,14.33,28.2,0.6,9,2.01,37
	Siksha `O` Anusandhan,IR-2-O-OD-U-0363,15.12,30,17.32,11.9,9.3,12.62,0.5,0.98,60,6.21,11.82,28.73,2.52,20,7.17,38
Indian Institute of Technology Gandhinagar,IR-2-O-OE-U-0139,7.3,29.73,18.05,18.65,12.5,13.24,0.5,1.05,53.57,3.22,21.51,19.47,4.49,15,15.9,39
Tamil Nadu Agricultural University,IR-1-O-O-U-0485,11.79,30,19.22,17.59,3.46,6.47,1,2.06,57.25,18.33,1.81,30,5.26,17,12.07,40
Homi Bhabha National Institute,IR-1-O-O-U-0304,7.87,30,17.44,28.83,2.15,9.42,0,2.6,45.16,24.97,11.47,19.28,0,14,9.85,41
